prof_id,title
Hållbarhetschef,Hållbarhetschef
Co Founder,Co Founder
Facilitator and Coach,Facilitator and Coach
Mechanical Designer,Mechanical Designer
Vertrieb Energiedienstleistungen,Vertrieb Energiedienstleistungen
senior industrial designer / design management,senior industrial designer / design management
Founder of Sustainable Living & Health Consultancy,Founder of Sustainable Living & Health Consultancy
Founder - Director,Founder - Director
Werkstudent,Werkstudent
Junior Sustainability Reporting & Assurance Professional,Junior Sustainability Reporting & Assurance Professional
Inhouse Consultant,Inhouse Consultant
Sustainability Specialist,Sustainability Specialist
Corporate Investment Management,Corporate Investment Management
Data Engineer,Data Engineer
Vertriebsmitarbeiter,Vertriebsmitarbeiter
Governance & Treasury,Governance & Treasury
Data Science Intern,Data Science Intern
Personal- und Businesscoach & Trainerin für Persönlichkeits- und Führungskräfte entwicklung,Personal- und Businesscoach & Trainerin für Persönlichkeits- und Führungskräfte entwicklung
Projektmanagerin für Energie- und Klimaschutzberatung,Projektmanagerin für Energie- und Klimaschutzberatung
Geschäftsführer & Gründer,Geschäftsführer & Gründer
Founder's Associate Business Development,Founder's Associate Business Development
"Scouting Leader - Strategy, Development & Innovation","Scouting Leader - Strategy, Development & Innovation"
"Equality, Diversity and Inclusion Advisor","Equality, Diversity and Inclusion Advisor"
Service Offer Leader Circular Services Market Support,Service Offer Leader Circular Services Market Support
Angestellter Landschaftsarchitekt,Angestellter Landschaftsarchitekt
Corporate Advisor,Corporate Advisor
Digital Communications & Project Management,Digital Communications & Project Management
Spezialberater strukturierte Finanzierungen,Spezialberater strukturierte Finanzierungen
Mechanical Engineer Consultant ( Via Knightec),Mechanical Engineer Consultant ( Via Knightec)
Specialist för Zapp metodiken,Specialist för Zapp metodiken
Junior Purchase Manager,Junior Purchase Manager
Manager,Manager
Business Manager Germany,Business Manager Germany
Näringslivsutvecklare,Näringslivsutvecklare
City Leader,City Leader
Mentor,Mentor
Praktikantin im Bereich Qualitätssicherung,Praktikantin im Bereich Qualitätssicherung
Technischer Planer,Technischer Planer
Selbständig,Selbständig
Innivationsrådgivare,Innivationsrådgivare
Junior System Specialist,Junior System Specialist
"Innovator, CEO and Managing Director","Innovator, CEO and Managing Director"
Industrial Lead,Industrial Lead
Chief Financial Officer & Co-Founder,Chief Financial Officer & Co-Founder
Board Member & Product Development,Board Member & Product Development
AI Transformation Lead,AI Transformation Lead
Student Research Assistant,Student Research Assistant
CEO & Founder,CEO & Founder
Sustainability Compliance Lead,Sustainability Compliance Lead
Business Coach,Business Coach
Customer Success Manager,Customer Success Manager
Postdoctoral Research Fellow,Postdoctoral Research Fellow
Student,Student
Director Connected Portfolio & Business Model Transformation | Federated AI in Intelligent Industry,Director Connected Portfolio & Business Model Transformation | Federated AI in Intelligent Industry
ESG Consultant,ESG Consultant
Test Engineer,Test Engineer
Operations Supervisor,Operations Supervisor
Category Manager Plant Stauden,Category Manager Plant Stauden
Verksamhetschef Drivhuset Malmö,Verksamhetschef Drivhuset Malmö
Verkaufsleiter,Verkaufsleiter
Project Coordinator for Transparency Initiatives,Project Coordinator for Transparency Initiatives
Organisationsutvecklare,Organisationsutvecklare
Resource Manager,Resource Manager
Product Engineering Manager,Product Engineering Manager
Hållbarhetskonsult | Affärsdrivet hållbarhetsarbete | Senior Consultant Sustainability,Hållbarhetskonsult | Affärsdrivet hållbarhetsarbete | Senior Consultant Sustainability
Verksamhetsledare Idéburen Utveckling,Verksamhetsledare Idéburen Utveckling
Dienstleistungs-/ Direktmarketing,Dienstleistungs-/ Direktmarketing
Projektmanagerin im Bereich Marketing/Vertrieb,Projektmanagerin im Bereich Marketing/Vertrieb
PhD Student,PhD Student
Inflow coordinator,Inflow coordinator
Koordinator -CORALIS,Koordinator -CORALIS
Content Director,Content Director
"SVP, Group Controller","SVP, Group Controller"
Senior Management Consultant,Senior Management Consultant
Driftsleder,Driftsleder
Department Manager Sustainability Sweden,Department Manager Sustainability Sweden
SSQA Co-Man Release Engineer,SSQA Co-Man Release Engineer
Hub Supervisor & (temp.) Hub lead,Hub Supervisor & (temp.) Hub lead
Summer Intern,Summer Intern
Alumnikoordinator,Alumnikoordinator
Fitness Instructor,Fitness Instructor
Lokal- & Hållbarhetsstrateg,Lokal- & Hållbarhetsstrateg
Senior Content Marketing Manager,Senior Content Marketing Manager
Data Analyst,Data Analyst
Rådgivare Innovation,Rådgivare Innovation
DFT Engineer,DFT Engineer
Werkstudent bei M-Solar Individualgeschäft,Werkstudent bei M-Solar Individualgeschäft
Project Manager Technical Engineering Components & Electronics @Dräxlmaier Group,Project Manager Technical Engineering Components & Electronics @Dräxlmaier Group
Masterand,Masterand
HR-Manager,HR-Manager
Business Analyst,Business Analyst
Cloud Sales Business Development Manager,Cloud Sales Business Development Manager
Business Intelligence Manager,Business Intelligence Manager
Flight Attendant,Flight Attendant
Visiting PhD Researcher,Visiting PhD Researcher
Partner and Member of the Board,Partner and Member of the Board
Project Engineer,Project Engineer
"Founder and CEO, Sustainability Consultant","Founder and CEO, Sustainability Consultant"
Malmö Food Incubator Manager and Chairwoman of the Board,Malmö Food Incubator Manager and Chairwoman of the Board
Senior Production Manager,Senior Production Manager
Founder and Developer,Founder and Developer
Planer Erneuerbarer Energieerzeugungsanlagen,Planer Erneuerbarer Energieerzeugungsanlagen
Professional Audit & Assurance,Professional Audit & Assurance
Projekt- und Entwicklungsingenieur,Projekt- und Entwicklungsingenieur
Gründer & Geschäftsführer,Gründer & Geschäftsführer
Directeur,Directeur
Studentische Hilfskraft // Projektmanagement & Kommunikation,Studentische Hilfskraft // Projektmanagement & Kommunikation
Venture Builder,Venture Builder
Application Consultant,Application Consultant
Senior Project Manager and Lead Analyst,Senior Project Manager and Lead Analyst
Knowledge Manager,Knowledge Manager
Project Manager Events & Relations ESA EAST bei AO Foundation,Project Manager Events & Relations ESA EAST bei AO Foundation
CEO/Founder,CEO/Founder
"Strategist, Advisor & Coach for
  Global Change and Evolutionary Leadership.","Strategist, Advisor & Coach for
  Global Change and Evolutionary Leadership."
Fleet Operations Assistant,Fleet Operations Assistant
Senior User Experience Architect,Senior User Experience Architect
Group Sustainability Transformation Lead,Group Sustainability Transformation Lead
Controller Produktion Hochvolt-Speicher,Controller Produktion Hochvolt-Speicher
Projektleiter,Projektleiter
Director Consulting Services,Director Consulting Services
Accounting Manager,Accounting Manager
Referent Erneuerbare Wärmelösungen,Referent Erneuerbare Wärmelösungen
Category Manager Sportstyle,Category Manager Sportstyle
Nachhaltiger Spezialist für digitales Projektmanagement mit Fokus auf Marketing,Nachhaltiger Spezialist für digitales Projektmanagement mit Fokus auf Marketing
Executive Assistant,Executive Assistant
Wissenschaftlicher Mitarbeiterin,Wissenschaftlicher Mitarbeiterin
Garten Christoph Fink EZ,Garten Christoph Fink EZ
Circular Economy Coordinator - Referat für Klima- und Umweltschutz,Circular Economy Coordinator - Referat für Klima- und Umweltschutz
Wissenschaftliche Mitarbeiterin,Wissenschaftliche Mitarbeiterin
Projektentwicklung,Projektentwicklung
Managing director,Managing director
Portfoliomanager,Portfoliomanager
Program Host,Program Host
Portfolio Management Associate,Portfolio Management Associate
Trainee Vertrieb und Marketing,Trainee Vertrieb und Marketing
Head of Sales Used Truck,Head of Sales Used Truck
Supply Chain Sustainability Manager,Supply Chain Sustainability Manager
Manager Channel EMEA,Manager Channel EMEA
People Development & Learning,People Development & Learning
"Inbetriebnahme Antrieb, Mobile Fahrzeugmesstechnik","Inbetriebnahme Antrieb, Mobile Fahrzeugmesstechnik"
Werkstudent E-Mobilität,Werkstudent E-Mobilität
Advocacy and Networking Coordinator,Advocacy and Networking Coordinator
Consultant | Human Capital | Organization Transformation,Consultant | Human Capital | Organization Transformation
Project Manager - Customer Logisitcs & Services,Project Manager - Customer Logisitcs & Services
Ph.D.,Ph.D.
TC-Instructor,TC-Instructor
Intern | Private Equity,Intern | Private Equity
Styrelseordförande,Styrelseordförande
Aufsichtsratsvorsitzender,Aufsichtsratsvorsitzender
Product Manager Polymer Solutions,Product Manager Polymer Solutions
Trade & Experience Marketing Manager,Trade & Experience Marketing Manager
"Regional Vice President, Commercial Sales","Regional Vice President, Commercial Sales"
Co-Founder & Driver,Co-Founder & Driver
Project Expert,Project Expert
Brand Specialist - Retail,Brand Specialist - Retail
Founder & Chief Bettermeant Officer,Founder & Chief Bettermeant Officer
Junior Contentmanagerin für PR/Unternehmenskommunikation und Social Media,Junior Contentmanagerin für PR/Unternehmenskommunikation und Social Media
ESG Analyst,ESG Analyst
"Academic lecturer, researcher and author","Academic lecturer, researcher and author"
"Adviseur OchtendMensen – TwynstraGudde, Klimaat en duurzaamheid","Adviseur OchtendMensen – TwynstraGudde, Klimaat en duurzaamheid"
Brand Designer & Founder,Brand Designer & Founder
Cluster Ass. Marketing Manager,Cluster Ass. Marketing Manager
Sportsekretär,Sportsekretär
Student Data Scientist,Student Data Scientist
Beleidsontwikkelaar Onderwijs en Arbeidsmarkt,Beleidsontwikkelaar Onderwijs en Arbeidsmarkt
Responsible Banking Manager at Santander Consumer Bank - Nordics,Responsible Banking Manager at Santander Consumer Bank - Nordics
Performance Marketing Managerin,Performance Marketing Managerin
VFX Producer,VFX Producer
Geschäftsführerin,Geschäftsführerin
Projektmitarbeiterin,Projektmitarbeiterin
Lead Transformation Evangelist,Lead Transformation Evangelist
Procesconsultant,Procesconsultant
Managerin Alternative Antriebe und Krafstoffinfrastrukturen für Maritime Anwendungen,Managerin Alternative Antriebe und Krafstoffinfrastrukturen für Maritime Anwendungen
Business Developer (Ingka Group),Business Developer (Ingka Group)
Communication Advisor,Communication Advisor
Co-Founder and Bistro Manager,Co-Founder and Bistro Manager
Client Development Manager,Client Development Manager
Director,Director
Junior Consultant sustainability management and strategy,Junior Consultant sustainability management and strategy
Strategic Advisor / Private Label,Strategic Advisor / Private Label
Software Engineer / DevOps - Smart Factory Lifecycle Planning,Software Engineer / DevOps - Smart Factory Lifecycle Planning
Senior Client Partner,Senior Client Partner
Associate Sustainability Services,Associate Sustainability Services
Digital Ethicist,Digital Ethicist
Design and innovation Consultant,Design and innovation Consultant
Energy and Climate Coach,Energy and Climate Coach
Managing Consultant,Managing Consultant
Custodian and Enabler,Custodian and Enabler
"Visiting Associate Professor, Delaplain/Maryland Endowed Chair in Business and Project Management","Visiting Associate Professor, Delaplain/Maryland Endowed Chair in Business and Project Management"
Working Student Service Automation,Working Student Service Automation
Architect,Architect
Projectleider voor team 'Leven Lang Ontwikkelen',Projectleider voor team 'Leven Lang Ontwikkelen'
Marketing,Marketing
Digital Project Manager,Digital Project Manager
Mechanical Engineer,Mechanical Engineer
Project and Customer Quality Engineer,Project and Customer Quality Engineer
People & Culture Manager,People & Culture Manager
Techniker FTTH und LAN Infrastruktur,Techniker FTTH und LAN Infrastruktur
Investment Team,Investment Team
Head of Operations,Head of Operations
Sales Consultant & Speaker,Sales Consultant & Speaker
Key Account Manager E-Bike / After Sales,Key Account Manager E-Bike / After Sales
M.A. Landschaftsarchitektur,M.A. Landschaftsarchitektur
Online Marketing Manager,Online Marketing Manager
"Junior Process Referent- Financial ERP Processes,Governance and Tools","Junior Process Referent- Financial ERP Processes,Governance and Tools"
Rechtsreferendarin,Rechtsreferendarin
市场营销,市场营销
Change Management Support,Change Management Support
Project Ingineer,Project Ingineer
Project Employee Just Transition,Project Employee Just Transition
New Growth Factory Director Finance and Controlling,New Growth Factory Director Finance and Controlling
Master Thesis Agricultural Economics,Master Thesis Agricultural Economics
Tutor für Anatomie,Tutor für Anatomie
Culinary Portfolio Manager,Culinary Portfolio Manager
Wissenschaftlicher Mitarbeiter,Wissenschaftlicher Mitarbeiter
Information Technology Consultant,Information Technology Consultant
Recruiting Specialist - Active Sourcing,Recruiting Specialist - Active Sourcing
Working student,Working student
Juniorin Client Consulting,Juniorin Client Consulting
Werkstudent Customer Success,Werkstudent Customer Success
Analyst Cloud Consultant,Analyst Cloud Consultant
Circular Economy Manager,Circular Economy Manager
Referent Decarbonisierung & Energiewende,Referent Decarbonisierung & Energiewende
Battery Recycling Study,Battery Recycling Study
Social Media Marketing,Social Media Marketing
Associate im Bereich ESG & Sustainable Finance,Associate im Bereich ESG & Sustainable Finance
Working Student - Production Data Analyst,Working Student - Production Data Analyst
"Co-Founder & CMO, CBDO","Co-Founder & CMO, CBDO"
IoT Backend Developer,IoT Backend Developer
"Financial Services, Automotive, Consumer Goods | Intern","Financial Services, Automotive, Consumer Goods | Intern"
Rettungssanitäter,Rettungssanitäter
Sachbearbeiter Forderungsmanagement,Sachbearbeiter Forderungsmanagement
Chief of Staff,Chief of Staff
Asset Management Analyst,Asset Management Analyst
"Praktikantin im Bereich Forschung und Entwicklung, Sensorik","Praktikantin im Bereich Forschung und Entwicklung, Sensorik"
Solutions Architect,Solutions Architect
Werkstudentin Akquise und Projektentwicklung für Wind- und Solarenergie,Werkstudentin Akquise und Projektentwicklung für Wind- und Solarenergie
Junior Fund Controller,Junior Fund Controller
Lead iOS Engineer,Lead iOS Engineer
Carlo Schmid Fellow bei UNESCO in Nachhaltigkeitsmanagement,Carlo Schmid Fellow bei UNESCO in Nachhaltigkeitsmanagement
Global Sales and Application Engineer Sewage & Water Solutions,Global Sales and Application Engineer Sewage & Water Solutions
Inside Sales,Inside Sales
Co-Founder | Guardian of Operation,Co-Founder | Guardian of Operation
Bilanzkreis- und Prognosemanagerin,Bilanzkreis- und Prognosemanagerin
Virtuelles Kraftwerk,Virtuelles Kraftwerk
Produktion,Produktion
Projektkoordinator Ladeinfrastruktur,Projektkoordinator Ladeinfrastruktur
Projektingenieur Energiekonzepte und Studien,Projektingenieur Energiekonzepte und Studien
Nutritionist,Nutritionist
NatCat Management R&D and GIS,NatCat Management R&D and GIS
Sales Director DACHEE,Sales Director DACHEE
Projektentwicklerin,Projektentwicklerin
Fach- und Koordinationsstelle für die außerschulische BNE in Bayern,Fach- und Koordinationsstelle für die außerschulische BNE in Bayern
Projektingenieur,Projektingenieur
Projektleiter & Business Development Manager Sales Digital Solutions,Projektleiter & Business Development Manager Sales Digital Solutions
Marketing Specialist,Marketing Specialist
Chapter Lead Netherlands,Chapter Lead Netherlands
Sustainability Consultant für LCA Projekte,Sustainability Consultant für LCA Projekte
ELLIS PhD student,ELLIS PhD student
Senior Consultant Sustainable Finance,Senior Consultant Sustainable Finance
Public Sector Consulting Intern,Public Sector Consulting Intern
Associate Portfolio Manager | Renewables,Associate Portfolio Manager | Renewables
Technical Trainee strategisches Qualitätsmanagement,Technical Trainee strategisches Qualitätsmanagement
Wissenschaftliche Mitarbeiterin und Doktorandin,Wissenschaftliche Mitarbeiterin und Doktorandin
Referentin Strategisches Konzerncontrolling,Referentin Strategisches Konzerncontrolling
Junior Project Management Officer,Junior Project Management Officer
Manager Redakteur Motorsport,Manager Redakteur Motorsport
Geschäftsführender Gesellschafter,Geschäftsführender Gesellschafter
Content Creator/ Marketing,Content Creator/ Marketing
Senior Manager Brand Communication,Senior Manager Brand Communication
Referent,Referent
Spezialist Produktkonfiguration und Digitalisierung,Spezialist Produktkonfiguration und Digitalisierung
Senior Expert Science & Technology,Senior Expert Science & Technology
Senior Partner Manager,Senior Partner Manager
CEO & Chairman,CEO & Chairman
CEO and Co-Founder,CEO and Co-Founder
Koch,Koch
Studentische Hilfskraft Studiengangskoordination Psychologie mit schulpsychologischem Schwerpunkt,Studentische Hilfskraft Studiengangskoordination Psychologie mit schulpsychologischem Schwerpunkt
Regional Sales Manager,Regional Sales Manager
"Founder, CEO (Digital Export - Cross-Border E-Commerce - International Web Marketing Strategy)","Founder, CEO (Digital Export - Cross-Border E-Commerce - International Web Marketing Strategy)"
Cloud Engineer,Cloud Engineer
Senior Consultant - Digital Experience Factory,Senior Consultant - Digital Experience Factory
Associate Marketing & Communications,Associate Marketing & Communications
Worker,Worker
Marketing Communications Specialist,Marketing Communications Specialist
Head of Sales,Head of Sales
Next Level | Associate,Next Level | Associate
Aerospace Engineer/ Senior Research Scientist/ Principal Investigator/ Project Manager/ Supervisor,Aerospace Engineer/ Senior Research Scientist/ Principal Investigator/ Project Manager/ Supervisor
Program Therapist,Program Therapist
Product Marketeer,Product Marketeer
Project Study Master,Project Study Master
Gebietsleiter Vertrieb,Gebietsleiter Vertrieb
Projektleitung erneuerbare Energien,Projektleitung erneuerbare Energien
Werkstudentin,Werkstudentin
Junior Beraterin,Junior Beraterin
Senior Consultant Corporate Finance,Senior Consultant Corporate Finance
Crop Scientist,Crop Scientist
Unternehmensinhaber,Unternehmensinhaber
Abteilungsleiterin Wasserbau und Bauwerksunterhalt,Abteilungsleiterin Wasserbau und Bauwerksunterhalt
Territory Sales Manager,Territory Sales Manager
Projektentwicklung PV Freiflächen,Projektentwicklung PV Freiflächen
Site Manager,Site Manager
Head of Operations and Logistics,Head of Operations and Logistics
Strategy Business Development,Strategy Business Development
Nachhaltigkeitsmanagerin,Nachhaltigkeitsmanagerin
Wind Developer,Wind Developer
Projektentwickler Wind Süd,Projektentwickler Wind Süd
Brand Activation Manager,Brand Activation Manager
Wirtschaftsförderer,Wirtschaftsförderer
Corporate Development Manager,Corporate Development Manager
Professional Nachhaltigkeit & EHS,Professional Nachhaltigkeit & EHS
Innovationsmanagement,Innovationsmanagement
Referent für Nachhaltigkeitsentwicklung,Referent für Nachhaltigkeitsentwicklung
Industrial Trainee | Advisory Services SI&T Sustainability,Industrial Trainee | Advisory Services SI&T Sustainability
Senior Engineer and People Lead of Quality and Testing team,Senior Engineer and People Lead of Quality and Testing team
International Distribution Manager,International Distribution Manager
Co-Founder & CTO,Co-Founder & CTO
Creative Lead,Creative Lead
CEO & Owner,CEO & Owner
Senior Software Engineer,Senior Software Engineer
Web- & Softwareentwickler (Freelance),Web- & Softwareentwickler (Freelance)
Immobilienberater,Immobilienberater
Senior Cybersecurity Engineer,Senior Cybersecurity Engineer
Senior People & Culture Managerin,Senior People & Culture Managerin
Head of Data Operations,Head of Data Operations
Digitalisierung & IT,Digitalisierung & IT
Industry Process Consultant,Industry Process Consultant
Technology Manager | New Growth Factory,Technology Manager | New Growth Factory
"NVIDIA for Startups, Strategic Initiatives, Inception Community Manager","NVIDIA for Startups, Strategic Initiatives, Inception Community Manager"
Gerente y propietario,Gerente y propietario
Corporate Communications,Corporate Communications
Manager IT Retail,Manager IT Retail
Projektentwicklung Erneuerbare Energien,Projektentwicklung Erneuerbare Energien
Tech Lead / Senior Data Scientist,Tech Lead / Senior Data Scientist
Energie- und Umweltmanagerin,Energie- und Umweltmanagerin
Software Consultant,Software Consultant
Senior Project Manager SCM and Procurement,Senior Project Manager SCM and Procurement
Chief Of Staff,Chief Of Staff
Junior Product Manager,Junior Product Manager
Broker,Broker
Chief Strategy Officer (CSO),Chief Strategy Officer (CSO)
Strategische Einkäuferin - Anlagenbau,Strategische Einkäuferin - Anlagenbau
Inbetriebnahmetechniker,Inbetriebnahmetechniker
Geschäftsführer (CTO/COO),Geschäftsführer (CTO/COO)
Manager Sustainability & Communications,Manager Sustainability & Communications
Project Developer,Project Developer
Leitung Business Unit,Leitung Business Unit
Projektentwicklung Solarparks,Projektentwicklung Solarparks
Managing Director at Systemseal,Managing Director at Systemseal
Global Shaper,Global Shaper
Leiter Wasserkraft,Leiter Wasserkraft
Lead Procurement Specialist at Zagrebacka banka d.d.,Lead Procurement Specialist at Zagrebacka banka d.d.
Head of Freelance Community & Project Partnering DACH,Head of Freelance Community & Project Partnering DACH
Founder of Studio 5s,Founder of Studio 5s
Senior IT Consultant,Senior IT Consultant
Associate - Energy Consulting,Associate - Energy Consulting
Consultant | Economics & Sustainability,Consultant | Economics & Sustainability
Service & Hütten-Allroundmitarbeiterin,Service & Hütten-Allroundmitarbeiterin
Communications Project Coordinator,Communications Project Coordinator
Expert Consultant Business Analyst,Expert Consultant Business Analyst
Growth Specialist,Growth Specialist
Referentin Strategie / Energiepolitik / Unternehmensentwicklung,Referentin Strategie / Energiepolitik / Unternehmensentwicklung
Sales Professional,Sales Professional
Mobile Developer,Mobile Developer
Trainee @ E.ON International Graduate Programme,Trainee @ E.ON International Graduate Programme
Visiting Analyst,Visiting Analyst
Head of Component,Head of Component
Process Specialist,Process Specialist
Creative Specialist,Creative Specialist
"Founder, Startups for Sustainable Development","Founder, Startups for Sustainable Development"
Quality Specialist,Quality Specialist
Deputy Manager,Deputy Manager
"Managing Partner, HR Director & Advisor","Managing Partner, HR Director & Advisor"
Projectos de desenvolvimento de inovação,Projectos de desenvolvimento de inovação
Professorin für Recht (Prof. Dr. iur.),Professorin für Recht (Prof. Dr. iur.)
Recruitment & Research Consultant,Recruitment & Research Consultant
Werkstudent Produktmanagement & Marketing,Werkstudent Produktmanagement & Marketing
Initiator Munich,Initiator Munich
Merchandise Planning Lead,Merchandise Planning Lead
Vice President of Publishing / Country Manager Serbia,Vice President of Publishing / Country Manager Serbia
Vorstandsassistentin/Projektmanagerin,Vorstandsassistentin/Projektmanagerin
Head of User Experience & Documentation for Insights Hub (FKA MindSphere),Head of User Experience & Documentation for Insights Hub (FKA MindSphere)
Responsable clientèle,Responsable clientèle
Chief Sustainability Officer - Italy,Chief Sustainability Officer - Italy
Operational Director,Operational Director
Abteilungsleiter,Abteilungsleiter
COO & Founder,COO & Founder
Testmanager,Testmanager
"Co-founder, CTO","Co-founder, CTO"
Investment Promotion,Investment Promotion
Team Lead | Customer Success Manager UKI,Team Lead | Customer Success Manager UKI
Vendedor,Vendedor
Senior Relationship Associate,Senior Relationship Associate
Head of Mobility Projects,Head of Mobility Projects
Social Impact Consultant,Social Impact Consultant
Horticulture Consultant,Horticulture Consultant
Project Development Manager,Project Development Manager
Projektentwicklerin Windkraft,Projektentwicklerin Windkraft
Chef de projet AMO - Data centre,Chef de projet AMO - Data centre
Impiegato amministrativo,Impiegato amministrativo
Manager Strategic Controlling,Manager Strategic Controlling
Financial Controller,Financial Controller
CRM Project Manager (Junior),CRM Project Manager (Junior)
Architecte projet,Architecte projet
Senior Project Manager Offgrid Energy Finance,Senior Project Manager Offgrid Energy Finance
Electrical Engineering Consultant,Electrical Engineering Consultant
Producer,Producer
Product Line Manager,Product Line Manager
Application Analyst,Application Analyst
Product Development Manager Footwear,Product Development Manager Footwear
Business Development and Industry Engagement - Space & Aerospace,Business Development and Industry Engagement - Space & Aerospace
Referentin Veranstaltungsmanagement,Referentin Veranstaltungsmanagement
Senior Manager - Generation,Senior Manager - Generation
Projektmitarbeiter,Projektmitarbeiter
Senior Sustainability Consultant,Senior Sustainability Consultant
Markkinointi- ja laatupäällikkö,Markkinointi- ja laatupäällikkö
Ordentlicher Professor,Ordentlicher Professor
Lehrkraft für besondere Aufgaben,Lehrkraft für besondere Aufgaben
Audit Senior,Audit Senior
Chargée de Marketing Communication,Chargée de Marketing Communication
"Strategist, Trading & Origination","Strategist, Trading & Origination"
Procurement Manager,Procurement Manager
Customer Service Administrator,Customer Service Administrator
Sales Contracts Manager,Sales Contracts Manager
Chief Technical Officer,Chief Technical Officer
Enterprise Architect,Enterprise Architect
Real Estate Investments,Real Estate Investments
Regenerative Business Model Designer,Regenerative Business Model Designer
Associate SEO Director,Associate SEO Director
Corporate Risk,Corporate Risk
Institutional & Wholesale Distribution Sales Support Iberia,Institutional & Wholesale Distribution Sales Support Iberia
Transport & Customs Specialist,Transport & Customs Specialist
Co-Head of Portfolio Intelligence,Co-Head of Portfolio Intelligence
IT Project Manager,IT Project Manager
AFC Officer,AFC Officer
Productmanager,Productmanager
Founder & Head of Accelerator,Founder & Head of Accelerator
Global Diversity and Inclusion Specialist,Global Diversity and Inclusion Specialist
Chef de projet Innovation / Seconde main,Chef de projet Innovation / Seconde main
"Team Lead, Partner Support","Team Lead, Partner Support"
Chef de projet SI,Chef de projet SI
Junior Consultant Organizational Development,Junior Consultant Organizational Development
Company Owner,Company Owner
Bachelor-Student,Bachelor-Student
Finnish SEO Fulfillment Specialist,Finnish SEO Fulfillment Specialist
Projektleiter Solarparks,Projektleiter Solarparks
