prof_id,title
Chef- och ledarutvecklare/Leadership developer,Chef- och ledarutvecklare/Leadership developer
CEO & Medical Director,CEO & Medical Director
Sales And Marketing Specialist - Customer Engagement Manager,Sales And Marketing Specialist - Customer Engagement Manager
IT-koordinator,IT-koordinator
Professor de Competências Socioemocionais,Professor de Competências Socioemocionais
coachISA,coachISA
Wellbeing Health Coach,Wellbeing Health Coach
Styrelseordförande,Styrelseordförande
"Entrepreneur, Founder","Entrepreneur, Founder"
Director,Director
Director of Operations,Director of Operations
Sustainability Manager Public Affairs,Sustainability Manager Public Affairs
School Principal,School Principal
Service Designer / Transformation Leader,Service Designer / Transformation Leader
Creative Psychotherapist,Creative Psychotherapist
Elevcoach,Elevcoach
"Founder, Game Producer","Founder, Game Producer"
Operativ chef,Operativ chef
Chief Executive Officer,Chief Executive Officer
Co-Founder,Co-Founder
Biträdande rektor,Biträdande rektor
CRM Manager,CRM Manager
"Founder, Director and Chair","Founder, Director and Chair"
"Founder and CEO of the Brazilian NGO NOSSO movimento pelo bem estar no Brasil""""","Founder and CEO of the Brazilian NGO NOSSO movimento pelo bem estar no Brasil"""""
"producer, director, videographer, video editor, motion graphics designer, photographer","producer, director, videographer, video editor, motion graphics designer, photographer"
Organisationspsykolog / ägare LedRätt Sverige AB,Organisationspsykolog / ägare LedRätt Sverige AB
Investment Comittee,Investment Comittee
"Program Manager, Salzburg Global Center for Education Transformation","Program Manager, Salzburg Global Center for Education Transformation"
Samordnare,Samordnare
Global Goodwill AHMP Ambassador,Global Goodwill AHMP Ambassador
Customer Success Manager Key Account,Customer Success Manager Key Account
Samordnare psykisk hälsa,Samordnare psykisk hälsa
Specialpedagog,Specialpedagog
-,-
Managing Director,Managing Director
UTVECKLING  |  MENTOR  |  COACH  |  PROJEKTLEDNING,UTVECKLING  |  MENTOR  |  COACH  |  PROJEKTLEDNING
"Sustainability consultancy, Business development","Sustainability consultancy, Business development"
Key Account Manager,Key Account Manager
Head of Content,Head of Content
Art Director,Art Director
ECCE Operations (B2G),ECCE Operations (B2G)
Assistant Manager,Assistant Manager
Financial Educator and Entrepreneur,Financial Educator and Entrepreneur
Co Founder,Co Founder
Utbildningschef,Utbildningschef
Enhetschef - Centrala specialistteamet,Enhetschef - Centrala specialistteamet
Styrelseledamot,Styrelseledamot
Junior Consultant sustainability management and strategy,Junior Consultant sustainability management and strategy
"Head, Healthcare & Life Sciences","Head, Healthcare & Life Sciences"
"Associate Director of Social, Emotional, and Ethical Learning","Associate Director of Social, Emotional, and Ethical Learning"
Skolchef/ Director of Schools,Skolchef/ Director of Schools
Hållbarhetschef,Hållbarhetschef
Member,Member
Fish-X Communication Manager,Fish-X Communication Manager
Forskare och samordnare,Forskare och samordnare
Design and innovation Consultant,Design and innovation Consultant
Digital Ethicist,Digital Ethicist
Strategic Advisor / Private Label,Strategic Advisor / Private Label
Alumnikoordinator,Alumnikoordinator
P&C Generalists-Operations Management,P&C Generalists-Operations Management
Partner and Member of the Board,Partner and Member of the Board
Company Owner,Company Owner
Montessori pedagog,Montessori pedagog
"Specialpedagog 4-9, arbetslagsledare tf rektor","Specialpedagog 4-9, arbetslagsledare tf rektor"
Utbildningssamordnare,Utbildningssamordnare
Senior Officer- Career Services and Outreach,Senior Officer- Career Services and Outreach
Sektorchef Utbildning,Sektorchef Utbildning
Ordförande,Ordförande
Skolchef,Skolchef
Utbildningsledare med ansvar för kompetensutveckling av lärare,Utbildningsledare med ansvar för kompetensutveckling av lärare
Processledare digital utveckling,Processledare digital utveckling
Psykolog på habiliteringsmottagning barn och unga,Psykolog på habiliteringsmottagning barn och unga
Bibliotekschef,Bibliotekschef
Teaching Assistant & Student Success Coach,Teaching Assistant & Student Success Coach
Enhetschef organisationsutveckling Grundskoleförvaltning,Enhetschef organisationsutveckling Grundskoleförvaltning
Undervisningsråd / Director of Education,Undervisningsråd / Director of Education
Studievägledare,Studievägledare
Ämneslärare,Ämneslärare
Account Executive,Account Executive
Chef,Chef
Educator,Educator
Konsult,Konsult
"Biträdande rektor, Östratornskolan","Biträdande rektor, Östratornskolan"
Senior Client Partner,Senior Client Partner
Enhetschef Pedagogisk Inspiration Malmö Utvecklingsstödsenheten,Enhetschef Pedagogisk Inspiration Malmö Utvecklingsstödsenheten
Co-Founder and CEO,Co-Founder and CEO
Principal/ Rektor,Principal/ Rektor
Föreläsare och skribent,Föreläsare och skribent
"Rektor, Malmö Neptunigymnasium","Rektor, Malmö Neptunigymnasium"
Rektor för Malmö Citadellsgymnasium,Rektor för Malmö Citadellsgymnasium
Sektionschef Förskoleförvaltningen kvalitet och utveckjling,Sektionschef Förskoleförvaltningen kvalitet och utveckjling
Utvecklingssamordnare,Utvecklingssamordnare
Biträdande rektor Malmö Latin,Biträdande rektor Malmö Latin
Förvaltningschef,Förvaltningschef
Senior Consultant,Senior Consultant
Projektsamordnare / Mobilisering,Projektsamordnare / Mobilisering
Upptäcktsresande i världen,Upptäcktsresande i världen
Chairperson,Chairperson
Innovation Officer,Innovation Officer
Utbildningskonsult och UL handledare,Utbildningskonsult och UL handledare
Enhetschef,Enhetschef
VD Lärande i Sverige,VD Lärande i Sverige
International project coordinator DBGY Sweden,International project coordinator DBGY Sweden
Assistant Head of Deparment,Assistant Head of Deparment
VFU - kandidat,VFU - kandidat
Skola - arbetslivsutvecklare,Skola - arbetslivsutvecklare
Lärare på rektorsutbildningen,Lärare på rektorsutbildningen
Head of Growth,Head of Growth
FoU-samordnare med inriktning på skolans organisation och ledarskap,FoU-samordnare med inriktning på skolans organisation och ledarskap
Strategic Advisor Diversity & Inclusion,Strategic Advisor Diversity & Inclusion
Verksamhetsutvecklare,Verksamhetsutvecklare
Psykolog/Författare,Psykolog/Författare
"Föreläsare och coach - organisation, ledarskap och systematiskt kvalitetsarbete","Föreläsare och coach - organisation, ledarskap och systematiskt kvalitetsarbete"
Tf verksamhetschef barn- och elevhälsa,Tf verksamhetschef barn- och elevhälsa
Rektor med samordningsuppdrag inom Vuxenutbildningen,Rektor med samordningsuppdrag inom Vuxenutbildningen
Kundansvarig KAM,Kundansvarig KAM
Administrativ assistent,Administrativ assistent
Biträdande rektor 7-9,Biträdande rektor 7-9
Utredare,Utredare
"VD Steinbergs Utbildning AB, Fil dr","VD Steinbergs Utbildning AB, Fil dr"
"Föreläsare, coach, chefsmentor - organisation, ledarskap och systematiskt kvalitetsarbete","Föreläsare, coach, chefsmentor - organisation, ledarskap och systematiskt kvalitetsarbete"
Rektor I Ur och Skur Bokskogen o Väderleken,Rektor I Ur och Skur Bokskogen o Väderleken
VD,VD
Central specialpedagog,Central specialpedagog
HR specialist Utbildningsförvaltningen,HR specialist Utbildningsförvaltningen
Legitimerad lärare,Legitimerad lärare
Förstelärare i språk- och kunskapsutvecklande arbetssätt.,Förstelärare i språk- och kunskapsutvecklande arbetssätt.
Teacher in Pedagogical Studies,Teacher in Pedagogical Studies
Enhetschef Barnhälsa,Enhetschef Barnhälsa
Stadsdirektör,Stadsdirektör
Fortbildare,Fortbildare
Speciallärare,Speciallärare
Rådgivare i specialpedagogiska frågor,Rådgivare i specialpedagogiska frågor
Förskollärare,Förskollärare
"Customer Success Manager, Säljare med kundansvar","Customer Success Manager, Säljare med kundansvar"
Förskolepedagog,Förskolepedagog
Musiklärare,Musiklärare
Enhetschef Centrala Elevhälsan,Enhetschef Centrala Elevhälsan
Valberedning,Valberedning
"Rektor, Område 5","Rektor, Område 5"
Rektor Västra Rektorsområdet,Rektor Västra Rektorsområdet
Professor i historia,Professor i historia
Senior Account Manager,Senior Account Manager
Verksamhetschef barn- och elevhälsa och skolchef anpassad grundskola,Verksamhetschef barn- och elevhälsa och skolchef anpassad grundskola
Rektor och verksamhetsutvecklare,Rektor och verksamhetsutvecklare
Secretary General,Secretary General
Förstelärare,Förstelärare
"Förvaltningschef, ställföreträdande kommundirektör och skolchef","Förvaltningschef, ställföreträdande kommundirektör och skolchef"
"Föreståndare/chef för Centrum för samverkan och samordning, Fakulteten för lärande och samhälle","Föreståndare/chef för Centrum för samverkan och samordning, Fakulteten för lärande och samhälle"
Grundskolerektor,Grundskolerektor
Lärare/mentor,Lärare/mentor
Kundansvarig,Kundansvarig
Principal,Principal
Avdelningschef för kultur och fritid,Avdelningschef för kultur och fritid
Vice ordförande,Vice ordförande
Ägare av Anna-Karins AB,Ägare av Anna-Karins AB
Utvecklingssamordnare Normer och värden,Utvecklingssamordnare Normer och värden
Studerar till specialpedagog,Studerar till specialpedagog
Verksamhetschef hos Skol- och fritidsförvaltningen,Verksamhetschef hos Skol- och fritidsförvaltningen
Facklig företrädare och huvudskyddsombud,Facklig företrädare och huvudskyddsombud
"Utbildningschef, grundskola","Utbildningschef, grundskola"
Entreprenör,Entreprenör
Avdelningschef,Avdelningschef
"Enhetschef NIVA - Neurokirurgi Avdelning Intensivvård, SUS Lund","Enhetschef NIVA - Neurokirurgi Avdelning Intensivvård, SUS Lund"
Biträdande rektor på Värner Rydénskolan med särskilt ansvar för elevhälsoarbetet F-9,Biträdande rektor på Värner Rydénskolan med särskilt ansvar för elevhälsoarbetet F-9
Kurator,Kurator
"Organisationspsykolog, Ledarutvecklare","Organisationspsykolog, Ledarutvecklare"
socialpedagog och utredare,socialpedagog och utredare
Verksamhetschef,Verksamhetschef
Lärare Idrott och hälsa samt kommunikation,Lärare Idrott och hälsa samt kommunikation
Utbildningsdirektör,Utbildningsdirektör
Förvaltningschef Utbildningsförvaltning Bjuvs kommun,Förvaltningschef Utbildningsförvaltning Bjuvs kommun
Rektor Spångholmsskolan,Rektor Spångholmsskolan
"Enhetschef psykologenheten, grundskoleförvaltningen","Enhetschef psykologenheten, grundskoleförvaltningen"
Områdesrektor | Söderslättsgymnasiet,Områdesrektor | Söderslättsgymnasiet
Project Manager,Project Manager
Bitädande rektor Rönnenskolan,Bitädande rektor Rönnenskolan
Förstelärare Söderslättsgymnasiet,Förstelärare Söderslättsgymnasiet
Utvecklingsledare,Utvecklingsledare
Författare,Författare
Samordnare/projektledare,Samordnare/projektledare
Yrkeslärare,Yrkeslärare
Handledare & konsult/Specialpedagog,Handledare & konsult/Specialpedagog
Tf. Biträdande rektor,Tf. Biträdande rektor
Tf Skolchef,Tf Skolchef
Head of Corporate AI,Head of Corporate AI
Kommunikatör,Kommunikatör
Group Product Manager - ESG Solutions,Group Product Manager - ESG Solutions
Head of Helsingborg Innovation District,Head of Helsingborg Innovation District
Founding Curator and Licensee,Founding Curator and Licensee
Head of Programs,Head of Programs
Sustainability Consultant,Sustainability Consultant
Técnico Departamento de Energía,Técnico Departamento de Energía
Global Innovation Advisor,Global Innovation Advisor
"Co-Founder-Director Management & Business Services, ESGConsultant, Mentor-Carbon Footprint reduction","Co-Founder-Director Management & Business Services, ESGConsultant, Mentor-Carbon Footprint reduction"
Founder & Director,Founder & Director
Marketing Specialist,Marketing Specialist
Senior Software Engineer,Senior Software Engineer
Impact and Sustainability Manager,Impact and Sustainability Manager
Research Associate,Research Associate
Founder and Brand Strategist,Founder and Brand Strategist
Stock Controller,Stock Controller
Conscious Advice Columnist,Conscious Advice Columnist
"Program Director, Sustainability","Program Director, Sustainability"
"Co-Founder, Coach, Psychologist","Co-Founder, Coach, Psychologist"
LCA Specialist,LCA Specialist
"Director, Sustainability","Director, Sustainability"
Group Fitness Instructor,Group Fitness Instructor
Boardmember,Boardmember
"Technical PdM, Head of AI & R&D Department","Technical PdM, Head of AI & R&D Department"
Senior Manager,Senior Manager
"Vice President, Engineering, Decisioning and AI","Vice President, Engineering, Decisioning and AI"
Business Technology Senior Analyst,Business Technology Senior Analyst
CEO & Co-Founder,CEO & Co-Founder
Director - Head Carry & Employee Operations,Director - Head Carry & Employee Operations
Enterprise Architect,Enterprise Architect
Primary School Learning Support Coordinator,Primary School Learning Support Coordinator
Universitetsadjunkt i Ledarskap och organisation,Universitetsadjunkt i Ledarskap och organisation
Sustainability Manager,Sustainability Manager
Event Specialist,Event Specialist
"Director, Industry Learning","Director, Industry Learning"
Generalkommissarie,Generalkommissarie
Product Owner Digital Product Passports,Product Owner Digital Product Passports
Social Enterprise Consultant,Social Enterprise Consultant
Sales & Communications,Sales & Communications
Sustainability Solutions Sales Manager Europe,Sustainability Solutions Sales Manager Europe
User Experience Lead,User Experience Lead
"Division Chief: Asia, Middle East, Europe @ Office of Child Labor, Forced Labor, & Human Trafficking","Division Chief: Asia, Middle East, Europe @ Office of Child Labor, Forced Labor, & Human Trafficking"
Business Director,Business Director
Owner & CEO,Owner & CEO
Sales Representative,Sales Representative
Nordic Head of Public Policy,Nordic Head of Public Policy
Advisory Board Member,Advisory Board Member
Réalisateur et auteur de films documentaires,Réalisateur et auteur de films documentaires
ServiceManager,ServiceManager
Sava Restaurant Co-Founder,Sava Restaurant Co-Founder
Partner Account Manager - Consulting and Tech,Partner Account Manager - Consulting and Tech
Team Leader,Team Leader
Deputy General Manager,Deputy General Manager
ADHD-COACH konsult,ADHD-COACH konsult
Associate Teaching Professor,Associate Teaching Professor
Real Estate Specialist,Real Estate Specialist
Visual Communication Specialist,Visual Communication Specialist
Strategic Partnerships Officer,Strategic Partnerships Officer
Map-Matching Master,Map-Matching Master
Grundare/Ordförande,Grundare/Ordförande
Business Development Associate,Business Development Associate
General Manager- Operations,General Manager- Operations
VD & Rekryteringskonsult,VD & Rekryteringskonsult
Director of Contracts and Claims Department,Director of Contracts and Claims Department
Lead Forest Maker,Lead Forest Maker
Freelance Blogger,Freelance Blogger
HVAC Installation Delivery Manager,HVAC Installation Delivery Manager
Stödpedagog,Stödpedagog
Gerente Innovación Social - Social Innovation Manager,Gerente Innovación Social - Social Innovation Manager
Presidente,Presidente
"Arbetsmarknadskonsult, handläggare","Arbetsmarknadskonsult, handläggare"
Talent Acquisition Partner,Talent Acquisition Partner
National Consultant on Environment,National Consultant on Environment
Gåfotbollsambassadör,Gåfotbollsambassadör
aidea Italia subsidiary Representative and Managing Director,aidea Italia subsidiary Representative and Managing Director
Corporate Training,Corporate Training
Real Estate,Real Estate
Projektledare/Kommunikatör med ansvar för externa event/verksamhetsledare,Projektledare/Kommunikatör med ansvar för externa event/verksamhetsledare
Cofounder,Cofounder
Master Coach - Inner Development,Master Coach - Inner Development
"Consultant in Climate, Energy and EU Projects","Consultant in Climate, Energy and EU Projects"
Founder & CEO,Founder & CEO
Co-Founder & CEO,Co-Founder & CEO
Diretor técnico sênior,Diretor técnico sênior
Senior Sales Executive,Senior Sales Executive
Head of Commercial Development and Analytics,Head of Commercial Development and Analytics
General Manager,General Manager
Partner,Partner
Brand Relationships Manager,Brand Relationships Manager
"Miljö-, kvalitet- och arbetsmiljökonsult","Miljö-, kvalitet- och arbetsmiljökonsult"
Estudiante de doctorado,Estudiante de doctorado
Leader,Leader
Professor,Professor
HR Organisational and Development Specialist,HR Organisational and Development Specialist
Customer Service Agent,Customer Service Agent
Global Youth Advisor for Google (via Canvas8),Global Youth Advisor for Google (via Canvas8)
Chief Creative Officer (CCO),Chief Creative Officer (CCO)
National Coordinator,National Coordinator
Nutritionist Biologist,Nutritionist Biologist
Advisor ¦ Trainer ¦ Lead Assessor ¦ UN Expert on SDG 12,Advisor ¦ Trainer ¦ Lead Assessor ¦ UN Expert on SDG 12
Prosjekleder Eltel Networks,Prosjekleder Eltel Networks
"Personalledelse, Prosjektutvikling, Digital markedsføring, Koordinering, Logistikkføring.","Personalledelse, Prosjektutvikling, Digital markedsføring, Koordinering, Logistikkføring."
Lead Enterprise Account Executive in Nordics and Poland,Lead Enterprise Account Executive in Nordics and Poland
Growth,Growth
Professor of Political Science,Professor of Political Science
Researcher,Researcher
Vice President of Business Development,Vice President of Business Development
"Program Manager, Tax and Data Center Consultant at ESG Impact Consulting","Program Manager, Tax and Data Center Consultant at ESG Impact Consulting"
President & CEO,President & CEO
Growth Product Manager,Growth Product Manager
Föreläsare,Föreläsare
Environmental Health Safety Coordinator,Environmental Health Safety Coordinator
Energy Conservation Specialist,Energy Conservation Specialist
Founder-Director,Founder-Director
Lieutenant,Lieutenant
"Project Management Consultant, Co-founder & Chairman of the Board","Project Management Consultant, Co-founder & Chairman of the Board"
Marknad och Sponsorchef,Marknad och Sponsorchef
Portfolio Manager and Investment Stewardship,Portfolio Manager and Investment Stewardship
Communications Manager,Communications Manager
Director Enterprise Risk Management (ERM),Director Enterprise Risk Management (ERM)
Consultant - ESG Services,Consultant - ESG Services
Visuell Kommunikatör,Visuell Kommunikatör
Fastighetsmäklare,Fastighetsmäklare
"Project Manager, Sustainability champion","Project Manager, Sustainability champion"
Senior Specialist- Sustainability & CSR,Senior Specialist- Sustainability & CSR
Partnerships Specialist,Partnerships Specialist
owner,owner
"Member,Strategic Council of the African Water and Sanitation (AfWASA),","Member,Strategic Council of the African Water and Sanitation (AfWASA),"
Business & Sustainability Director for Environment & Sustainability at AFRY,Business & Sustainability Director for Environment & Sustainability at AFRY
Manager,Manager
Professor Emeritus,Professor Emeritus
CEO/President,CEO/President
Co-Owner,Co-Owner
"Executive Assistant | Legal, Purchasing","Executive Assistant | Legal, Purchasing"
DIRECTOR | VOLUNTARY FOUNDER,DIRECTOR | VOLUNTARY FOUNDER
Full Professor,Full Professor
Medgrundare,Medgrundare
Community Manager,Community Manager
Assistant Manager - Sustainability,Assistant Manager - Sustainability
Sustainability Lead,Sustainability Lead
Head of Corporate Sustainability na Movida,Head of Corporate Sustainability na Movida
Head of business development,Head of business development
Co-founder & Marketing,Co-founder & Marketing
Retail Sales and Marketing,Retail Sales and Marketing
Fellow,Fellow
Autore collaboratore,Autore collaboratore
General Secretary,General Secretary
Founder-CEO,Founder-CEO
Senior Bioeconomy Adviser,Senior Bioeconomy Adviser
Chief Of Party,Chief Of Party
General Manager of Supply chain compliance and sustainability,General Manager of Supply chain compliance and sustainability
Advisor Professor - Corporate Sustainability/ESG,Advisor Professor - Corporate Sustainability/ESG
Professeur associé,Professeur associé
Founding Director Alam Sustainability Consultants,Founding Director Alam Sustainability Consultants
Senior Consultant in Environmental Technology & Sustainability,Senior Consultant in Environmental Technology & Sustainability
ELFT - varied projects and research,ELFT - varied projects and research
Author & Co-founder Tales from Mother Earth,Author & Co-founder Tales from Mother Earth
Research and Sustainability Specialist,Research and Sustainability Specialist
Consultant,Consultant
NGO,NGO
"VD, ägare","VD, ägare"
Secretary,Secretary
Systemic Executive Coach & Managing Partner,Systemic Executive Coach & Managing Partner
Founder and Associate Consultant,Founder and Associate Consultant
Co-Founder and inventor,Co-Founder and inventor
"Director – Energy, Environment & Sustainability","Director – Energy, Environment & Sustainability"
"Founder & CEO at 123 Next Generation | We communicate, we advise, we train","Founder & CEO at 123 Next Generation | We communicate, we advise, we train"
Energy Engineer,Energy Engineer
Event Manager,Event Manager
International Business Development Consultant,International Business Development Consultant
Holistic Coach & Therapist,Holistic Coach & Therapist
Marketing Coordinator,Marketing Coordinator
HomeRoom Teacher,HomeRoom Teacher
Senior Client Analyst,Senior Client Analyst
CEO and Senior Partner Business Strategy and Leadership,CEO and Senior Partner Business Strategy and Leadership
Associate Professor,Associate Professor
"Associate Professor in Entrepreneurship, Economics & Management","Associate Professor in Entrepreneurship, Economics & Management"
Executive Ontological Coaching & Leadership,Executive Ontological Coaching & Leadership
Social Council Member,Social Council Member
Public Speaker,Public Speaker
Line producer,Line producer
Professor Of Marketing,Professor Of Marketing
Gast,Gast
Senior Partnership Development Manager,Senior Partnership Development Manager
Founder & President,Founder & President
Group Managing Director,Group Managing Director
Advisor,Advisor
Senior Data Analyst,Senior Data Analyst
Research Officer,Research Officer
Cloud Sales Rep (SMB),Cloud Sales Rep (SMB)
Scientific Researcher,Scientific Researcher
Professional ESG services,Professional ESG services
Freelance Researcher and Lead Generator in Property Services,Freelance Researcher and Lead Generator in Property Services
Hon. Professor,Hon. Professor
sales and marketing manager,sales and marketing manager
Social Entrepreneur & Management Consultant,Social Entrepreneur & Management Consultant
Psychology Assistant,Psychology Assistant
Der Hochzeitskaiser & Der Festmusikant,Der Hochzeitskaiser & Der Festmusikant
Certified Trainer,Certified Trainer
Member of the Advisory Board Division for People and Social Inclusion,Member of the Advisory Board Division for People and Social Inclusion
Chairman of the Executive Board,Chairman of the Executive Board
"Co-Founder, Principal Engineer - ML Apps, Lightsphere AI, Seattle, WA","Co-Founder, Principal Engineer - ML Apps, Lightsphere AI, Seattle, WA"
Project Coordinator,Project Coordinator
Consultant-ICT Summit and Exhibitions,Consultant-ICT Summit and Exhibitions
Chief Marketing Officer,Chief Marketing Officer
Doctoral Researcher,Doctoral Researcher
Founder & CTO,Founder & CTO
Sales,Sales
Lead Operational Risk Officer,Lead Operational Risk Officer
Senior researcher at ENEA,Senior researcher at ENEA
Housing Retrofit Project Manager,Housing Retrofit Project Manager
Head of Circular Economy,Head of Circular Economy
Architect/Urban designer,Architect/Urban designer
Youth Delegate & Advisor,Youth Delegate & Advisor
Digital Product Manager,Digital Product Manager
Transition Consultant,Transition Consultant
Artist,Artist
Executive Co-Chair,Executive Co-Chair
Manager - Digital Transformation Sustainability,Manager - Digital Transformation Sustainability
Marketing Manager (Africa Region),Marketing Manager (Africa Region)
Global Head of Sustainability & Stewardship,Global Head of Sustainability & Stewardship
Art Direction and Front-End Designer,Art Direction and Front-End Designer
International Sustainable System Safety Engineering,International Sustainable System Safety Engineering
Team Leader PMCS,Team Leader PMCS
PhD Candidate and Research Associate at the Reinhard Mohn Institute of Management,PhD Candidate and Research Associate at the Reinhard Mohn Institute of Management
"Director External Affairs, Europe","Director External Affairs, Europe"
"Co-Founder, Partner, Director of Operations","Co-Founder, Partner, Director of Operations"
Team Leader and Lead Technical Consultant,Team Leader and Lead Technical Consultant
Supply Chain Management Consultant,Supply Chain Management Consultant
Global Head of Sustainability Partnerships,Global Head of Sustainability Partnerships
Licensed Real Estate Salesperson,Licensed Real Estate Salesperson
Technical Lead - Social Development,Technical Lead - Social Development
Senior Compliance & Sustainability-EMS,Senior Compliance & Sustainability-EMS
Chair of the Board,Chair of the Board
Sustainability Associate,Sustainability Associate
Direktør og stifter,Direktør og stifter
CMO,CMO
Co-founder & CEO,Co-founder & CEO
Platschef,Platschef
Founding CEO,Founding CEO
Vice President Sustainability and Compliance,Vice President Sustainability and Compliance
"Emotion, Body & Belief Code Therapist & Coach","Emotion, Body & Belief Code Therapist & Coach"
Attorney,Attorney
Flooring Export Sales,Flooring Export Sales
Founding Partner,Founding Partner
Wildlife Technician,Wildlife Technician
Strategic Integration Architect | CEO | Co-Founder,Strategic Integration Architect | CEO | Co-Founder
Director of the Futures Lab,Director of the Futures Lab
Partner - Head of Ventures,Partner - Head of Ventures
Manager CCaSS,Manager CCaSS
Co-inventor,Co-inventor
Territory Account Executive,Territory Account Executive
Teamleader Used MBPC,Teamleader Used MBPC
Business Development Representative,Business Development Representative
Technical Support Manager,Technical Support Manager
Senior associate,Senior associate
Program Manager,Program Manager
"Founder, CEO","Founder, CEO"
Huvudcoach,Huvudcoach
Director Political Parties,Director Political Parties
Psychologist,Psychologist
Strategy Lead Planet,Strategy Lead Planet
Author,Author
Senior Associate- Sustainability Advisory,Senior Associate- Sustainability Advisory
CEO and Founder,CEO and Founder
Product Development Coordinator,Product Development Coordinator
Teamleitung Kundenkontakt,Teamleitung Kundenkontakt
Sales And Marketing Specialist,Sales And Marketing Specialist
"Tropical agroforestry, crops, plant nutrition and soil fertility specialist, M.Sc.+","Tropical agroforestry, crops, plant nutrition and soil fertility specialist, M.Sc.+"
Email Marketing Specialist,Email Marketing Specialist
Trade fair,Trade fair
World Peace Ambassador,World Peace Ambassador
"Assistant Professor, Director of Business Graduate Programs","Assistant Professor, Director of Business Graduate Programs"
Senior Advisor,Senior Advisor
"Director, Climate Spring","Director, Climate Spring"
Virtuell konsult | redovisning marknadsföring,Virtuell konsult | redovisning marknadsföring
"Senior Business Development Manager, Project coordinator","Senior Business Development Manager, Project coordinator"
Business Development Manager,Business Development Manager
Teacher,Teacher
General Manager / Team Lead - New Energy,General Manager / Team Lead - New Energy
Chairperson of the Board,Chairperson of the Board
Oavlönad rådgivare och skribent,Oavlönad rådgivare och skribent
Co-Founder & Chief Executive Officer,Co-Founder & Chief Executive Officer
"Program Manager (Seattle, WA)","Program Manager (Seattle, WA)"
Operations Manager,Operations Manager
"MCM - Waste to Energy, Biomass and RDF Power plants","MCM - Waste to Energy, Biomass and RDF Power plants"
Associate Researcher,Associate Researcher
